# .claude/agent-routing.tsv
# 路徑 / skill -> 擁有者對照表。2026-09-11 由 tools-programmer 依管理者派工建立。
# 起因:2026-09-10 協調者代跑 /ux-review,未查該 skill 的 agent: 欄(ux-designer),
# 而三個既有路由來源(副檔名表、skill agent 欄、目錄擁有推導)散在三處,無人一次查全。
#
# 🔴 2026-09-11 訂正:原版把「skill 無 agent: 欄」與「查無擁有者」同標 UNASSIGNED,
# 59 項擠在一起會讓多數(53 項屬正常狀態)淹沒真正的 5 項缺口 —— 讀的人會學會無視這個標籤,
# 然後連真缺口一起無視。已拆成 NO_DESIGNATED_AGENT(正常)與 UNASSIGNED(缺口)兩個值。
#
# 欄位(Tab 分隔):type<TAB>key<TAB>owner<TAB>source
#   type  = skill(skill 名稱) | ext(副檔名/資源型別) | path(目錄前綴)
#   owner = 單一 agent 名稱 | NO_DESIGNATED_AGENT(該 skill 無 agent: 欄,由主線執行,正常狀態不是缺口) |
#           UNASSIGNED(三個來源都查不到、且確實需要擁有者 —— 真正的治理缺口) | AMBIGUOUS:a|b(多個候選,未定案)
#   source= 這一列從哪個來源查得,格式為 <來源類別>: <可查證依據>
#
# 重新產生 skill 列的指令(來源一):
#   for d in .claude/skills/*/; do awk '/^---$/{n++;next} n==1&&/^agent:/{print FILENAME, $2}' "$d/SKILL.md"; done
#
# 來源二(副檔名):.claude/docs/technical-preferences.md 的 "File Extension Routing" 表
# 來源三(目錄):.claude/docs/coordination-rules.md 第 5 條(No Unilateral Cross-Domain Changes)
#   導出 —— 導出過程是判斷,不是逐字抄錄,標 AMBIGUOUS 的列代表推導時找不到唯一候選,
#   刻意不擅自選一個,需要人裁決。
#
# 🔴 已知豁免(來源:使用者裁決,倉庫外,記錄於協調者長期筆記,非本倉庫任何檔案):
# 協調者保留「記帳」工作 —— 狀態標籤、計數、交叉引用、把管理者已下的裁決寫進各處、
# 修正過時敘述、git 操作、執行既有指令。判準是「讓已有的決定一致」vs「產生一個新的決定」,
# 後者一律委派。本對照表與這兩道 hook 不對此豁免做特殊處理 —— 豁免的是「誰可以做」,
# 不是「這個路徑歸誰」,兩者是不同的問題。
#
# 已知缺口(本表尚未涵蓋,見任務回報第 3 節):
#   - Control 節點 / CanvasLayer 屬「內容特徵」而非副檔名或路徑可判斷,本表無法偵測,
#     已用 .tscn/.tres -> godot-specialist 涵蓋同一組結論,但無法從檔名本身分辨觸發原因。
#   - .claude/skills/ 本身(skill 檔案的「作者」是誰)未涵蓋,只涵蓋每個 skill 的執行歸屬。

# --- type=skill (來源一:73 個 skill 的 SKILL.md frontmatter agent: 欄,2026-09-11 實查) ---
skill	adopt	technical-director	SKILL.md frontmatter: .claude/skills/adopt/SKILL.md agent: 欄
skill	architecture-decision	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/architecture-decision/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	architecture-review	technical-director	SKILL.md frontmatter: .claude/skills/architecture-review/SKILL.md agent: 欄
skill	art-bible	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/art-bible/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	asset-audit	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/asset-audit/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	asset-spec	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/asset-spec/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	balance-check	economy-designer	SKILL.md frontmatter: .claude/skills/balance-check/SKILL.md agent: 欄
skill	brainstorm	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/brainstorm/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	bug-report	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/bug-report/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	bug-triage	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/bug-triage/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	changelog	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/changelog/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	code-review	lead-programmer	SKILL.md frontmatter: .claude/skills/code-review/SKILL.md agent: 欄
skill	consistency-check	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/consistency-check/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	content-audit	producer	SKILL.md frontmatter: .claude/skills/content-audit/SKILL.md agent: 欄
skill	create-architecture	technical-director	SKILL.md frontmatter: .claude/skills/create-architecture/SKILL.md agent: 欄
skill	create-control-manifest	technical-director	SKILL.md frontmatter: .claude/skills/create-control-manifest/SKILL.md agent: 欄
skill	create-epics	technical-director	SKILL.md frontmatter: .claude/skills/create-epics/SKILL.md agent: 欄
skill	create-stories	lead-programmer	SKILL.md frontmatter: .claude/skills/create-stories/SKILL.md agent: 欄
skill	day-one-patch	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/day-one-patch/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
skill	design-review	NO_DESIGNATED_AGENT	SKILL.md frontmatter: .claude/skills/design-review/SKILL.md 無 agent: 欄(該 skill 無單一專屬擁有者,或由呼叫端 agent 自行執行)
